geneid	cell_type	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ENSMMUG00000054038	CD8 T Naive	4.3326309441046326e-232	1.165091557204133	0.808	0.598	8.43606571126613e-228
ADORA2B	CD8 T Naive	2.2479718135321948e-214	-9.073101831137445	0.005	0.204	4.377025918128536e-210
ENSMMUG00000047632	CD8 T Naive	3.669149530607535e-189	-2.556020512026501	0.058	0.297	7.144201051045932e-185
ENSMMUG00000060590	CD8 T Naive	2.61534565784526e-183	-8.265066739443139	0.001	0.17	5.0923395303905056e-179
RBPMS	CD8 T Naive	3.582668137144521e-114	-8.611836484754201	0.001	0.108	6.975813129834096e-110
ENSMMUG00000028695	CD8 T Naive	1.928587412227237e-109	-11.713903787129015	0	0.101	3.7551525503476535e-105
C11H12orf57	CD8 T Naive	4.4648514079731355e-100	-1.2230635401789234	0.212	0.42	8.693512176464493e-96
ENSMMUG00000062894	CD8 T Naive	2.7271869993730745e-89	-11.199026587240278	0	0.083	5.310105806479313e-85
SUCLG2	CD8 T Naive	2.114561806674419e-85	-0.6593712491548755	0.609	0.771	4.1172632937757615e-81
BMT2	CD8 T Naive	4.5241892418778254e-85	-3.2265722064588713	0.172	0.326	8.809048872860314e-81
ENSMMUG00000064139	CD8 T Naive	1.302553840619011e-72	0.5075123602653422	0.822	0.689	2.5362025830692765e-68
RPL37A	CD8 T Naive	4.5129027688884296e-64	-0.3686084387454942	0.916	0.953	8.787072981302662e-60
RPL23A	CD8 T Naive	2.2570523744693343e-63	-0.3824280054495759	0.921	0.957	4.394706678329241e-59
ENSMMUG00000063637	CD8 T Naive	2.417780565420547e-59	0.8636251151644683	0.543	0.409	4.7076605389303464e-55
RPL32	CD8 T Naive	7.952214447755319e-58	-0.5082007453743342	0.729	0.822	1.548375675122438e-53
RPS15	CD8 T Naive	3.8923335278106616e-53	-0.32080271884968425	0.95	0.968	7.578762612000138e-49
ENSMMUG00000052609	CD8 T Naive	4.145021564416624e-52	-0.2950227844954014	0.924	0.953	8.070771488075609e-48
ENSMMUG00000040771	CD8 T Naive	1.2686499465985157e-49	2.1196803369543984	0.159	0.056	2.4701883110219698e-45
IGKC	CD8 T Naive	3.319450040874153e-48	1.358800875254917	0.251	0.125	6.463301174586063e-44
UBA52	CD8 T Naive	6.419334313269841e-47	-0.37453845025349963	0.795	0.871	1.2499085841367708e-42
ENSMMUG00000015202	CD8 T Naive	9.611679839479779e-45	0.995638573048367	0.44	0.29	1.871490181545108e-40
RPS24	CD8 T Naive	4.007961100609612e-42	-0.3985643576335698	0.713	0.809	7.803901058996975e-38
ND4	CD8 T Naive	4.3323168600114647e-41	0.28473361245445794	0.996	0.867	8.435454158128322e-37
ENSMMUG00000022489	CD8 T Naive	5.3734599457969375e-40	-0.5556377343482379	0.43	0.561	1.0462663860461217e-35
SLC39A8	CD8 T Naive	5.89134132918441e-38	-2.566479723803824	0.01	0.06	1.1471030702054965e-33
PDGFRA	CD8 T Naive	1.9231899277603475e-37	-0.42419230244558204	0.626	0.727	3.7446431083421726e-33
ENSMMUG00000044861	CD8 T Naive	2.5192427127316837e-37	1.720742724454651	0.173	0.078	4.9052174859598616e-33
TMTC2	CD8 T Naive	6.6925721001996666e-37	-1.1463943413269826	0.07	0.159	1.3031107136298771e-32
ENSMMUG00000058325	CD8 T Naive	2.0106149210950972e-36	0.46063803292620475	0.628	0.504	3.914868312864264e-32
RPL12	CD8 T Naive	1.1912355752358213e-35	-0.3238091771933109	0.774	0.842	2.3194547885416675e-31
SKAP1	CD8 T Naive	2.058175056975862e-35	0.29333145065160826	0.921	0.885	4.007472653437701e-31
CPEB1	CD8 T Naive	3.3210076125172074e-35	-0.308039008871285	0.818	0.872	6.466333922332255e-31
BCR	CD8 T Naive	2.2356047089547012e-33	-1.2128534598043066	0.068	0.149	4.352945928805699e-29
RPS12	CD8 T Naive	2.5846181511182004e-33	-0.23206603856522268	0.921	0.946	5.032510002042248e-29
MAMU-E	CD8 T Naive	1.6625909391646084e-32	0.3112898205929633	0.831	0.773	3.237230817647409e-28
RPLP2	CD8 T Naive	2.1694789144472256e-32	-0.27575814423077816	0.887	0.92	4.224192394320193e-28
RASGRF2	CD8 T Naive	4.393833147038312e-32	-0.4021490553419649	0.402	0.545	8.555232520598297e-28
TPT1	CD8 T Naive	1.984330737605949e-31	-0.24652318490190517	0.928	0.951	3.863690379192543e-27
RPS8	CD8 T Naive	1.3177834153133672e-30	-0.2403211844088302	0.946	0.964	2.5658560879566573e-26
OCA2	CD8 T Naive	1.3651354544636212e-30	-1.00315996865693	0.08	0.162	2.658055243386117e-26
RPS27A	CD8 T Naive	1.9561574926040415e-30	-0.19761239820142595	0.973	0.979	3.808834253849329e-26
RPS23	CD8 T Naive	9.757599354468707e-30	-0.2171727387289586	0.925	0.949	1.8999021703086019e-25
ATP5PO	CD8 T Naive	1.5637249939471373e-29	-0.7074147031319757	0.213	0.319	3.044728935714471e-25
ENSMMUG00000061125	CD8 T Naive	2.1855923884535494e-29	0.23807496002682438	0.912	0.801	4.255566939557906e-25
RPS20	CD8 T Naive	3.1351098965642377e-29	-0.20181965918042444	0.938	0.96	6.104372479600227e-25
ENSMMUG00000020582	CD8 T Naive	3.3756439735981797e-28	-0.25886982349875787	0.894	0.928	6.572716380993016e-24
ENSMMUG00000064692	CD8 T Naive	1.5344303931023224e-27	-0.7595180293231566	0.239	0.339	2.987689418409532e-23
NBEAL1	CD8 T Naive	2.4840684591350725e-27	0.6795834584313477	0.365	0.262	4.8367296967818996e-23
RPS16	CD8 T Naive	2.8477214758677923e-27	-0.20314362838368272	0.938	0.955	5.544798485662178e-23
CALD1	CD8 T Naive	3.392959033122126e-27	-1.1313286261503328	0.059	0.128	6.606430533392091e-23
NXN	CD8 T Naive	6.2619110061835596e-27	-1.5888702527151135	0.026	0.078	1.219256692014001e-22
MRC2	CD8 T Naive	1.052135232685922e-26	3.1239486129100418	0.046	0.006	2.0486125115627589e-22
RPS28	CD8 T Naive	1.133738970859053e-26	-0.2204847026444372	0.909	0.935	2.207503150159662e-22
ENSMMUG00000002676	CD8 T Naive	1.763485652116506e-26	-0.19227932636824985	0.944	0.957	3.433682913236049e-22
PDE4B	CD8 T Naive	1.9726812565095922e-26	-0.6895432414310775	0.268	0.368	3.841007674549827e-22
FOS	CD8 T Naive	3.065799129375057e-26	-0.39173888188798456	0.647	0.729	5.969417484806174e-22
ENSMMUG00000060858	CD8 T Naive	3.3424557860921134e-26	1.0897570048310654	0.191	0.11	6.508095661099954e-22
IFI27L2	CD8 T Naive	4.0733097944637707e-26	-0.7514003368969859	0.117	0.202	7.931141500800408e-22
THEMIS	CD8 T Naive	4.741345702569301e-26	0.29328331607251634	0.827	0.773	9.231874217472686e-22
RPS11	CD8 T Naive	5.33529934352539e-26	-0.2129631320486558	0.938	0.959	1.0388361351778288e-21
ENSMMUG00000049684	CD8 T Naive	8.229043251052805e-26	-0.9451408010977026	0.069	0.139	1.6022770114124918e-21
RPL28	CD8 T Naive	8.807713218629013e-26	-0.2744024480850271	0.89	0.926	1.714949840799255e-21
ENSMMUG00000055690	CD8 T Naive	9.245492415231567e-26	-0.15408217408675906	0.992	0.999	1.8001898281697384e-21
ENSMMUG00000020092	CD8 T Naive	1.7452246317260617e-25	0.8646673386986136	0.231	0.141	3.398126880433815e-21
RPS26	CD8 T Naive	1.8370677051043965e-25	-0.24445359065655747	0.891	0.912	3.57695452860877e-21
B2M	CD8 T Naive	1.974789711053208e-25	0.19858880806836687	0.98	0.98	3.845113046391702e-21
RPLP1	CD8 T Naive	2.6118594554250615e-25	-0.196370066217173	0.916	0.942	5.085551545658137e-21
ENSMMUG00000056126	CD8 T Naive	3.0551385075325795e-25	-0.6028752691595511	0.224	0.325	5.948660188016686e-21
RPL13	CD8 T Naive	1.1879110924715424e-24	-0.18428960378484405	0.966	0.974	2.3129816881513402e-20
RPL22	CD8 T Naive	3.360825855701e-24	-0.2587081143006591	0.798	0.855	6.543864023635418e-20
ENSMMUG00000062077	CD8 T Naive	8.73142414578416e-24	-0.30440328166704944	0.824	0.882	1.7000955954256337e-19
PLAC8	CD8 T Naive	1.0787460392171097e-23	0.44261105940548595	0.503	0.404	2.1004264129596344e-19
ENSMMUG00000013429	CD8 T Naive	1.3013622538437362e-23	-0.1761120114993746	0.962	0.975	2.5338824444591386e-19
FOXO1	CD8 T Naive	8.38187520123509e-23	0.2929928132945352	0.766	0.695	1.6320349204324846e-18
ENSMMUG00000058919	CD8 T Naive	4.339242885801491e-22	-0.8630799852925508	0.081	0.148	8.448939822944082e-18
ENSMMUG00000058755	CD8 T Naive	1.424564552503574e-21	-0.23397532088061723	0.841	0.879	2.773769640179709e-17
NUP50	CD8 T Naive	5.5037210895939804e-21	-0.9156594287303934	0.089	0.156	1.071629533354844e-16
CORO2A	CD8 T Naive	6.692441795944166e-21	-0.853943205965159	0.094	0.163	1.3030853420882885e-16
RPL26	CD8 T Naive	7.126164721678523e-21	-0.2375544859655787	0.771	0.836	1.3875355329580252e-16
RPS7	CD8 T Naive	1.0069772261844065e-20	-0.1842422330450706	0.917	0.937	1.9606853571036579e-16
CD28	CD8 T Naive	1.915696631469687e-20	-0.6401701829411381	0.199	0.284	3.730052911134628e-16
RPL27A	CD8 T Naive	1.9187221583827642e-20	-0.14698581503001407	0.96	0.965	3.73594391458708e-16
RPS18	CD8 T Naive	2.020673239443272e-20	-0.16475216350083244	0.962	0.975	3.934452864519995e-16
JAML	CD8 T Naive	2.1841323611351528e-20	-0.6224899111485558	0.181	0.265	4.252724120366256e-16
RPL30	CD8 T Naive	2.6660208188924438e-20	-0.16306364128033124	0.943	0.959	5.191009136465477e-16
EEF1D	CD8 T Naive	3.2497173167062336e-20	-0.3374088111821829	0.459	0.559	6.327524587358707e-16
EEF1A1	CD8 T Naive	3.5510720804433987e-20	-0.4686655605338298	0.303	0.397	6.914292447831342e-16
RPL36	CD8 T Naive	4.513572091020886e-20	-0.27672341978964177	0.679	0.751	8.788376218426767e-16
IFI6	CD8 T Naive	5.117768751369528e-20	1.4999325633816398	0.083	0.034	9.964807535791608e-16
